length_bin,n,mean_errors,mean_rate,zero_pct
1-20,740,0.02837837837837838,0.2094305646937226,97.43243243243244
21-50,1024,0.0908203125,0.2501522286998658,93.359375
51-100,1179,0.1450381679389313,0.19961406581250463,91.51823579304495
101-200,1222,0.32569558101472995,0.22920055326586256,86.33387888707038
201-400,595,0.4907563025210084,0.19630700150983937,80.33613445378151
400+,240,0.8583333333333333,0.1270435952437366,77.08333333333334
