,d1_involved,d4_persuasion,hedge_density,first_person_rate,second_person_rate,contraction_rate,mean_sent_len,ttr,priv_verb_rate,flesch_kincaid
count,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,28647.0
mean,-31.54198448214524,2.14432134384658,0.213800798931151,3.376865907185683,1.748070266556386,1.038552309146702,12.048146672707496,0.8105652991617428,0.3822336183623298,9.177760871128589
std,13.047686192721358,4.086299872166096,0.5975472209604149,3.634135685569657,3.931536193729809,1.8616399606184086,7.6191113909891754,0.15797073645751672,0.8557541624851077,5.635153985981121
min,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8399999999999999
25%,-39.473684210526315,0.0,0.0,0.0,0.0,0.0,8.076923076923077,0.7384615384615385,0.0,6.717690259082357
50%,-31.6932847082495,1.282051282051282,0.0,2.564102564102564,0.7575757575757576,0.0,11.0,0.8241758241758241,0.0,8.62771875
75%,-23.65409764603313,3.125,0.0,5.333333333333334,2.564102564102564,1.639344262295082,14.714285714285714,0.9130434782608695,0.4826254826254826,10.938346138455383
max,33.33333333333333,500.0,11.11111111111111,100.0,500.0,25.0,324.0,1.0,20.0,681.0
