,noun_rate,verb_rate,adj_rate,adv_rate,propn_rate,punct_rate,num_rate,token_count,mean_dep_depth,max_dep_depth,n_sents
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,0.20284326407145264,0.10575393772734155,0.06719276067561887,0.03058171086931006,0.07321373840971396,0.1872421432685806,0.015478681863150729,75.3019,3.533173527854118,5.7954,5.8936
std,0.0979014022680354,0.0544812234236736,0.042976505847188345,0.029470540407381392,0.08616224056557649,0.08696884494270665,0.02636370418867031,37.940391454495725,1.383586068265791,2.1851353096850006,3.622484130969784
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25%,0.15789473684210525,0.07792207792207792,0.038834951456310676,0.008695652173913044,0.01694915254237288,0.13513513513513514,0.0,42.0,2.6666666666666665,5.0,3.0
50%,0.2,0.10810810810810811,0.06315789473684211,0.02586206896551724,0.04854368932038835,0.1774193548387097,0.0,89.0,3.4285714285714284,6.0,5.0
75%,0.24242424242424243,0.13541666666666666,0.09,0.045454545454545456,0.09803921568627451,0.224,0.021739130434782608,106.0,4.2,7.0,8.0
max,1.0,1.0,0.5,0.4,1.0,1.0,0.6393805309734514,452.0,15.0,28.0,23.0
