,count
could,22875
maybe,12989
might,11928
rather,8337
may,6582
kind of,4987
probably,2994
perhaps,2816
likely,2665
potentially,2073
seem,1425
quite,1179
appear,971
apparently,913
seemingly,588
tend,501
possibly,238
fairly,150
sort of,133
unlikely,95
arguably,59
somewhat,50
presumably,44
